date,state,district,pincode,demo_age_5_17,demo_age_17_
10-09-2025,Uttar Pradesh,Gorakhpur,273406,4,31
10-09-2025,Uttar Pradesh,Gorakhpur,273409,4,12
10-09-2025,Uttar Pradesh,Gorakhpur,273412,8,49
11-09-2025,Uttar Pradesh,Gorakhpur,273003,1,4
11-09-2025,Uttar Pradesh,Gorakhpur,273010,2,11
11-09-2025,Uttar Pradesh,Gorakhpur,273017,0,2
11-09-2025,Uttar Pradesh,Gorakhpur,273155,5,16
11-09-2025,Uttar Pradesh,Gorakhpur,273165,21,70
11-09-2025,Uttar Pradesh,Gorakhpur,273201,7,48
11-09-2025,Uttar Pradesh,Gorakhpur,273202,6,53
11-09-2025,Uttar Pradesh,Gorakhpur,273407,8,24
12-09-2025,Uttar Pradesh,Gorakhpur,273003,0,3
12-09-2025,Uttar Pradesh,Gorakhpur,273004,1,13
12-09-2025,Uttar Pradesh,Gorakhpur,273013,5,39
12-09-2025,Uttar Pradesh,Gorakhpur,273015,10,58
12-09-2025,Uttar Pradesh,Gorakhpur,273016,4,33
12-09-2025,Uttar Pradesh,Gorakhpur,273211,9,28
12-09-2025,Uttar Pradesh,Gorakhpur,273213,3,32
12-09-2025,Uttar Pradesh,Gorakhpur,273403,6,42
12-09-2025,Uttar Pradesh,Gorakhpur,273409,8,26
13-09-2025,Uttar Pradesh,Gorakhpur,273007,6,38
13-09-2025,Uttar Pradesh,Gorakhpur,273014,3,20
13-09-2025,Uttar Pradesh,Gorakhpur,273165,14,50
13-09-2025,Uttar Pradesh,Gorakhpur,273203,6,38
13-09-2025,Uttar Pradesh,Gorakhpur,273413,13,49
15-09-2025,Uttar Pradesh,Gorakhpur,273003,0,5
15-09-2025,Uttar Pradesh,Gorakhpur,273017,1,0
15-09-2025,Uttar Pradesh,Gorakhpur,273209,19,96
15-09-2025,Uttar Pradesh,Gorakhpur,273403,11,35
15-09-2025,Uttar Pradesh,Gorakhpur,273408,7,29
15-09-2025,Uttar Pradesh,Gorakhpur,273409,4,17
14-09-2025,Uttar Pradesh,Gorakhpur,273005,1,9
14-09-2025,Uttar Pradesh,Gorakhpur,273006,1,0
14-09-2025,Uttar Pradesh,Gorakhpur,273010,1,2
14-09-2025,Uttar Pradesh,Gorakhpur,273012,1,1
14-09-2025,Uttar Pradesh,Gorakhpur,273015,6,17
14-09-2025,Uttar Pradesh,Gorakhpur,273201,4,14
14-09-2025,Uttar Pradesh,Gorakhpur,273301,0,1
14-09-2025,Uttar Pradesh,Gorakhpur,273408,2,10
14-09-2025,Uttar Pradesh,Gorakhpur,273409,0,3
14-09-2025,Uttar Pradesh,Gorakhpur,273412,1,11
16-09-2025,Uttar Pradesh,Gorakhpur,273001,2,40
16-09-2025,Uttar Pradesh,Gorakhpur,273006,1,4
16-09-2025,Uttar Pradesh,Gorakhpur,273015,3,64
16-09-2025,Uttar Pradesh,Gorakhpur,273152,5,40
16-09-2025,Uttar Pradesh,Gorakhpur,273201,8,51
16-09-2025,Uttar Pradesh,Gorakhpur,273212,10,82
16-09-2025,Uttar Pradesh,Gorakhpur,273404,5,37
16-09-2025,Uttar Pradesh,Gorakhpur,273405,2,11
16-09-2025,Uttar Pradesh,Gorakhpur,273408,4,12
18-09-2025,Uttar Pradesh,Gorakhpur,273158,8,49
18-09-2025,Uttar Pradesh,Gorakhpur,273161,1,3
18-09-2025,Uttar Pradesh,Gorakhpur,273165,13,50
18-09-2025,Uttar Pradesh,Gorakhpur,273203,2,24
18-09-2025,Uttar Pradesh,Gorakhpur,273413,10,51
17-09-2025,Uttar Pradesh,Gorakhpur,273001,6,44
17-09-2025,Uttar Pradesh,Gorakhpur,273003,0,5
17-09-2025,Uttar Pradesh,Gorakhpur,273006,0,2
17-09-2025,Uttar Pradesh,Gorakhpur,273014,1,19
17-09-2025,Uttar Pradesh,Gorakhpur,273015,4,33
17-09-2025,Uttar Pradesh,Gorakhpur,273213,3,10
17-09-2025,Uttar Pradesh,Gorakhpur,273404,1,22
17-09-2025,Uttar Pradesh,Gorakhpur,273405,1,12
19-09-2025,Uttar Pradesh,Gorakhpur,273003,1,5
19-09-2025,Uttar Pradesh,Gorakhpur,273004,0,7
19-09-2025,Uttar Pradesh,Gorakhpur,273014,4,28
19-09-2025,Uttar Pradesh,Gorakhpur,273016,8,33
19-09-2025,Uttar Pradesh,Gorakhpur,273161,0,4
19-09-2025,Uttar Pradesh,Gorakhpur,273165,18,47
19-09-2025,Uttar Pradesh,Gorakhpur,273302,1,0
19-09-2025,Uttar Pradesh,Gorakhpur,273402,11,71
19-09-2025,Uttar Pradesh,Gorakhpur,273404,14,31
19-09-2025,Uttar Pradesh,Gorakhpur,273408,5,22
19-09-2025,Uttar Pradesh,Gorakhpur,273411,6,31
19-09-2025,Uttar Pradesh,Gorakhpur,273413,10,42
13-10-2025,Uttar Pradesh,Gorakhpur,273006,0,2
13-10-2025,Uttar Pradesh,Gorakhpur,273012,1,1
13-10-2025,Uttar Pradesh,Gorakhpur,273165,1,36
13-10-2025,Uttar Pradesh,Gorakhpur,273202,7,23
13-10-2025,Uttar Pradesh,Gorakhpur,273306,6,29
13-10-2025,Uttar Pradesh,Gorakhpur,273402,2,36
13-10-2025,Uttar Pradesh,Gorakhpur,273409,0,10
13-10-2025,Uttar Pradesh,Gorakhpur,273411,2,19
13-10-2025,Uttar Pradesh,Gorakhpur,273412,1,21
20-09-2025,Uttar Pradesh,Gorakhpur,273017,0,1
20-09-2025,Uttar Pradesh,Gorakhpur,273152,5,37
20-09-2025,Uttar Pradesh,Gorakhpur,273155,2,2
