date,state,district,pincode,bio_age_5_17,bio_age_17_
04-06-2025,Delhi,New Delhi,110001,1,5
05-06-2025,Delhi,New Delhi,110001,4,9
05-06-2025,Delhi,New Delhi,110021,5,10
07-06-2025,Delhi,New Delhi,110021,1,0
22-06-2025,Delhi,New Delhi,110011,0,2
24-06-2025,Delhi,New Delhi,110011,0,4
04-08-2025,Delhi,New Delhi,110011,0,1
01-08-2025,Delhi,New Delhi,110011,0,1
11-06-2025,Delhi,New Delhi,110011,0,1
23-06-2025,Delhi,New Delhi,110021,2,2
26-06-2025,Delhi,New Delhi,110001,8,2
12-06-2025,Delhi,New Delhi,110021,4,5
20-06-2025,Delhi,New Delhi,110001,5,5
16-06-2025,Delhi,New Delhi,110021,2,2
27-06-2025,Delhi,New Delhi,110011,0,1
28-06-2025,Delhi,New Delhi,110023,1,0
05-07-2025,Delhi,New Delhi,110001,4,9
05-07-2025,Delhi,New Delhi,110021,3,3
10-06-2025,Delhi,New Delhi,110001,4,5
03-07-2025,Delhi,New Delhi,110021,2,7
03-07-2025,Delhi,New Delhi,110023,0,1
08-07-2025,Delhi,New Delhi,110001,8,10
17-07-2025,Delhi,New Delhi,110021,0,8
11-07-2025,Delhi,New Delhi,110021,3,2
13-07-2025,Delhi,New Delhi,110001,2,1
18-07-2025,Delhi,New Delhi,110011,0,1
23-12-2025,Delhi,New Delhi,110021,6,4
26-12-2025,Delhi,New Delhi,110011,0,1
17-12-2025,Delhi,New Delhi,110023,0,1
28-12-2025,Delhi,New Delhi,110011,0,1
29-12-2025,Delhi,New Delhi,110021,4,3
01-01-2026,Delhi,New Delhi,110001,12,6
13-12-2025,Delhi,New Delhi,110011,0,1
14-12-2025,Delhi,New Delhi,110023,0,2
03-01-2026,Delhi,New Delhi,110001,1,0
23-12-2025,Delhi,New Delhi,110011,1,1
23-12-2025,Delhi,New Delhi,110023,0,2
09-12-2025,Delhi,New Delhi,110011,0,2
07-12-2025,Delhi,New Delhi,110001,0,1
16-11-2025,Delhi,New Delhi,110021,0,1
16-11-2025,Delhi,New Delhi,110023,0,0
29-11-2025,Delhi,New Delhi,110023,0,2
26-11-2025,Delhi,New Delhi,110011,1,3
10-11-2025,Delhi,New Delhi,110023,0,2
02-11-2025,Delhi,New Delhi,110023,0,2
24-10-2025,Delhi,New Delhi,110023,0,1
27-10-2025,Delhi,New Delhi,110023,0,3
25-09-2025,Delhi,New Delhi,110011,1,1
27-09-2025,Delhi,New Delhi,110011,0,1
02-10-2025,Delhi,New Delhi,110001,0,30
30-09-2025,Delhi,New Delhi,110023,0,2
11-09-2025,Delhi,New Delhi,110011,1,1
15-10-2025,Delhi,New Delhi,110023,0,1
22-09-2025,Delhi,New Delhi,110023,0,3
19-08-2025,Delhi,New Delhi,110023,0,1
17-08-2025,Delhi,New Delhi,110021,0,1
07-08-2025,Delhi,New Delhi,110023,0,3
06-08-2025,Delhi,New Delhi,110023,0,4
02-08-2025,Delhi,New Delhi,110023,0,5
30-07-2025,Delhi,New Delhi,110023,0,3
25-07-2025,Delhi,New Delhi,110011,1,0
24-07-2025,Delhi,New Delhi,110023,0,3
01-07-2025,Delhi,New Delhi,110023,0,3
02-07-2025,Delhi,New Delhi,110023,0,2
28-07-2025,Delhi,New Delhi,110011,0,2
04-07-2025,Delhi,New Delhi,110023,0,1
11-07-2025,Delhi,New Delhi,110011,1,1
12-07-2025,Delhi,New Delhi,110001,8,10
12-07-2025,Delhi,New Delhi,110021,4,4
23-07-2025,Delhi,New Delhi,110011,0,1
01-08-2025,Delhi,New Delhi,110001,6,7
31-07-2025,Delhi,New Delhi,110021,3,8
04-08-2025,Delhi,New Delhi,110001,2,2
23-10-2025,Delhi,New Delhi,110001,2,2
17-10-2025,Delhi,New Delhi,110021,2,3
17-10-2025,Delhi,New Delhi,110023,0,1
22-10-2025,Delhi,New Delhi,110021,7,4
26-10-2025,Delhi,New Delhi,110001,0,1
29-10-2025,Delhi,New Delhi,110021,9,2
01-11-2025,Delhi,New Delhi,110021,0,3
24-09-2025,Delhi,New Delhi,110001,8,5
