date,state,district,pincode,bio_age_5_17,bio_age_17_
29-08-2025,Uttar Pradesh,Bareilly,243002,0,1
31-08-2025,Uttar Pradesh,Bareilly,243402,7,28
31-08-2025,Uttar Pradesh,Bareilly,243407,0,11
31-08-2025,Uttar Pradesh,Bareilly,262406,4,43
20-08-2025,Uttar Pradesh,Bareilly,262302,0,1
24-09-2025,Uttar Pradesh,Bareilly,243002,0,1
13-09-2025,Uttar Pradesh,Bareilly,262202,1,0
14-09-2025,Uttar Pradesh,Bareilly,243407,0,6
14-08-2025,Uttar Pradesh,Bareilly,262001,0,1
16-08-2025,Uttar Pradesh,Bareilly,243402,2,23
16-08-2025,Uttar Pradesh,Bareilly,243407,0,1
15-08-2025,Uttar Pradesh,Bareilly,243006,0,7
17-08-2025,Uttar Pradesh,Bareilly,262407,3,32
18-08-2025,Uttar Pradesh,Bareilly,262001,0,1
10-10-2025,Uttar Pradesh,Bareilly,243002,0,1
05-10-2025,Uttar Pradesh,Bareilly,243407,0,4
20-10-2025,Uttar Pradesh,Bareilly,243003,2,5
26-10-2025,Uttar Pradesh,Bareilly,243501,1,12
26-10-2025,Uttar Pradesh,Bareilly,243502,0,9
26-10-2025,Uttar Pradesh,Bareilly,243506,0,35
26-10-2025,Uttar Pradesh,Bareilly,262406,5,50
23-10-2025,Uttar Pradesh,Bareilly,243203,2,14
23-10-2025,Uttar Pradesh,Bareilly,243402,1,8
19-10-2025,Uttar Pradesh,Bareilly,243003,0,6
19-10-2025,Uttar Pradesh,Bareilly,243303,1,16
22-10-2025,Uttar Pradesh,Bareilly,243302,3,25
02-10-2025,Uttar Pradesh,Bareilly,243401,0,16
15-10-2025,Uttar Pradesh,Bareilly,243002,0,1
12-10-2025,Uttar Pradesh,Bareilly,243407,0,3
12-10-2025,Uttar Pradesh,Bareilly,243504,3,14
11-10-2025,Uttar Pradesh,Bareilly,243506,2,15
01-10-2025,Uttar Pradesh,Bareilly,243403,0,1
09-09-2025,Uttar Pradesh,Bareilly,262001,0,1
08-09-2025,Uttar Pradesh,Bareilly,262203,0,1
10-09-2025,Uttar Pradesh,Bareilly,243002,0,1
22-09-2025,Uttar Pradesh,Bareilly,262201,0,1
21-09-2025,Uttar Pradesh,Bareilly,243003,1,7
21-09-2025,Uttar Pradesh,Bareilly,243202,1,33
21-09-2025,Uttar Pradesh,Bareilly,243501,0,6
16-09-2025,Uttar Pradesh,Bareilly,243002,0,1
11-09-2025,Uttar Pradesh,Bareilly,243407,0,5
12-09-2025,Uttar Pradesh,Bareilly,243002,0,4
12-09-2025,Uttar Pradesh,Bareilly,243403,0,7
11-08-2025,Uttar Pradesh,Bareilly,243004,0,1
13-08-2025,Uttar Pradesh,Bareilly,262001,0,1
05-08-2025,Uttar Pradesh,Bareilly,243004,0,2
09-08-2025,Uttar Pradesh,Bareilly,243401,0,4
10-08-2025,Uttar Pradesh,Bareilly,243401,3,22
07-08-2025,Uttar Pradesh,Bareilly,262122,0,1
07-08-2025,Uttar Pradesh,Bareilly,262203,0,1
29-06-2025,Uttar Pradesh,Bareilly,243002,0,1
29-06-2025,Uttar Pradesh,Bareilly,243407,0,7
29-06-2025,Uttar Pradesh,Bareilly,243501,3,45
29-06-2025,Uttar Pradesh,Bareilly,243502,0,32
28-06-2025,Uttar Pradesh,Bareilly,262122,0,1
19-07-2025,Uttar Pradesh,Bareilly,243004,0,1
07-07-2025,Uttar Pradesh,Bareilly,243407,0,18
07-07-2025,Uttar Pradesh,Bareilly,262203,0,1
08-07-2025,Uttar Pradesh,Bareilly,262122,0,1
19-10-2025,Uttar Pradesh,Bareilly,243001,0,1
19-10-2025,Uttar Pradesh,Bareilly,243504,0,1
21-10-2025,Uttar Pradesh,Bareilly,243001,14,4
21-10-2025,Uttar Pradesh,Bareilly,243301,9,12
21-10-2025,Uttar Pradesh,Bareilly,243503,4,2
21-10-2025,Uttar Pradesh,Bareilly,243504,5,3
21-10-2025,Uttar Pradesh,Bareilly,243505,14,13
18-10-2025,Uttar Pradesh,Bareilly,243005,15,20
18-10-2025,Uttar Pradesh,Bareilly,243202,31,14
18-10-2025,Uttar Pradesh,Bareilly,243301,23,8
18-10-2025,Uttar Pradesh,Bareilly,243503,42,29
18-10-2025,Uttar Pradesh,Bareilly,243505,52,19
18-10-2025,Uttar Pradesh,Bareilly,243506,3,2
18-10-2025,Uttar Pradesh,Bareilly,262201,0,1
18-10-2025,Uttar Pradesh,Bareilly,262406,39,31
01-06-2025,Uttar Pradesh,Bareilly,243122,1,11
01-06-2025,Uttar Pradesh,Bareilly,243203,0,4
01-06-2025,Uttar Pradesh,Bareilly,243302,0,2
14-06-2025,Uttar Pradesh,Bareilly,243203,3,33
21-05-2025,Uttar Pradesh,Bareilly,243201,83,28
21-05-2025,Uttar Pradesh,Bareilly,243301,73,16
21-05-2025,Uttar Pradesh,Bareilly,243401,25,6
21-05-2025,Uttar Pradesh,Bareilly,243501,23,10
21-05-2025,Uttar Pradesh,Bareilly,262407,52,10
22-05-2025,Uttar Pradesh,Bareilly,243005,26,13
22-05-2025,Uttar Pradesh,Bareilly,243202,25,8
22-05-2025,Uttar Pradesh,Bareilly,243203,23,10
22-05-2025,Uttar Pradesh,Bareilly,243407,2,3
22-05-2025,Uttar Pradesh,Bareilly,243502,42,20
23-05-2025,Uttar Pradesh,Bareilly,243003,15,15
23-05-2025,Uttar Pradesh,Bareilly,243202,38,12
23-05-2025,Uttar Pradesh,Bareilly,243303,22,7
23-05-2025,Uttar Pradesh,Bareilly,243506,21,3
25-05-2025,Uttar Pradesh,Bareilly,243201,3,6
25-05-2025,Uttar Pradesh,Bareilly,262406,2,0
24-05-2025,Uttar Pradesh,Bareilly,243001,37,38
24-05-2025,Uttar Pradesh,Bareilly,243502,20,11
24-05-2025,Uttar Pradesh,Bareilly,243504,39,14
24-05-2025,Uttar Pradesh,Bareilly,243506,20,5
27-05-2025,Uttar Pradesh,Bareilly,243001,39,42
27-05-2025,Uttar Pradesh,Bareilly,243122,45,28
27-05-2025,Uttar Pradesh,Bareilly,243303,42,6
27-05-2025,Uttar Pradesh,Bareilly,243402,28,3
27-05-2025,Uttar Pradesh,Bareilly,243504,30,10
27-05-2025,Uttar Pradesh,Bareilly,243505,44,21
26-05-2025,Uttar Pradesh,Bareilly,243006,13,18
26-05-2025,Uttar Pradesh,Bareilly,243401,6,0
26-05-2025,Uttar Pradesh,Bareilly,243403,3,0
26-05-2025,Uttar Pradesh,Bareilly,262407,64,11
02-06-2025,Uttar Pradesh,Bareilly,243402,4,6
02-06-2025,Uttar Pradesh,Bareilly,243407,1,4
01-06-2025,Uttar Pradesh,Bareilly,243201,2,0
01-06-2025,Uttar Pradesh,Bareilly,243502,0,1
01-06-2025,Uttar Pradesh,Bareilly,243505,10,5
28-05-2025,Uttar Pradesh,Bareilly,243005,18,14
28-05-2025,Uttar Pradesh,Bareilly,243006,9,13
28-05-2025,Uttar Pradesh,Bareilly,243122,39,15
28-05-2025,Uttar Pradesh,Bareilly,243202,37,7
28-05-2025,Uttar Pradesh,Bareilly,243502,6,5
28-05-2025,Uttar Pradesh,Bareilly,243504,33,16
20-05-2025,Uttar Pradesh,Bareilly,243001,55,25
20-05-2025,Uttar Pradesh,Bareilly,243002,0,1
20-05-2025,Uttar Pradesh,Bareilly,243003,12,11
20-05-2025,Uttar Pradesh,Bareilly,243004,0,1
20-05-2025,Uttar Pradesh,Bareilly,243202,43,12
20-05-2025,Uttar Pradesh,Bareilly,243402,19,3
20-05-2025,Uttar Pradesh,Bareilly,243501,17,4
20-05-2025,Uttar Pradesh,Bareilly,243505,47,14
29-05-2025,Uttar Pradesh,Bareilly,243006,18,19
29-05-2025,Uttar Pradesh,Bareilly,243122,13,22
29-05-2025,Uttar Pradesh,Bareilly,243202,28,11
29-05-2025,Uttar Pradesh,Bareilly,243302,46,9
29-05-2025,Uttar Pradesh,Bareilly,243303,52,10
29-05-2025,Uttar Pradesh,Bareilly,243502,12,11
29-05-2025,Uttar Pradesh,Bareilly,262406,54,14
29-05-2025,Uttar Pradesh,Bareilly,262407,88,13
03-06-2025,Uttar Pradesh,Bareilly,243001,41,39
03-06-2025,Uttar Pradesh,Bareilly,243203,5,2
03-06-2025,Uttar Pradesh,Bareilly,243401,30,4
03-06-2025,Uttar Pradesh,Bareilly,243501,16,7
30-05-2025,Uttar Pradesh,Bareilly,243003,7,14
30-05-2025,Uttar Pradesh,Bareilly,243303,55,7
30-05-2025,Uttar Pradesh,Bareilly,243402,17,6
16-06-2025,Uttar Pradesh,Bareilly,243006,5,10
16-06-2025,Uttar Pradesh,Bareilly,243201,48,29
16-06-2025,Uttar Pradesh,Bareilly,243302,10,3
16-06-2025,Uttar Pradesh,Bareilly,243501,12,14
16-06-2025,Uttar Pradesh,Bareilly,243502,33,13
16-06-2025,Uttar Pradesh,Bareilly,262407,8,9
04-06-2025,Uttar Pradesh,Bareilly,243504,77,10
31-05-2025,Uttar Pradesh,Bareilly,243123,7,4
07-06-2025,Uttar Pradesh,Bareilly,243203,1,2
07-06-2025,Uttar Pradesh,Bareilly,243303,7,1
07-06-2025,Uttar Pradesh,Bareilly,243401,2,0
07-06-2025,Uttar Pradesh,Bareilly,243502,2,0
08-06-2025,Uttar Pradesh,Bareilly,243006,1,0
08-06-2025,Uttar Pradesh,Bareilly,243302,0,1
06-06-2025,Uttar Pradesh,Bareilly,243006,5,11
06-06-2025,Uttar Pradesh,Bareilly,243302,47,13
06-06-2025,Uttar Pradesh,Bareilly,243407,0,1
06-06-2025,Uttar Pradesh,Bareilly,243503,87,16
06-06-2025,Uttar Pradesh,Bareilly,262406,75,26
05-06-2025,Uttar Pradesh,Bareilly,243201,86,38
05-06-2025,Uttar Pradesh,Bareilly,243504,41,14
05-06-2025,Uttar Pradesh,Bareilly,243506,24,3
05-06-2025,Uttar Pradesh,Bareilly,262406,35,16
09-06-2025,Uttar Pradesh,Bareilly,243001,29,42
09-06-2025,Uttar Pradesh,Bareilly,243505,31,25
09-06-2025,Uttar Pradesh,Bareilly,243506,22,1
10-06-2025,Uttar Pradesh,Bareilly,243006,9,22
10-06-2025,Uttar Pradesh,Bareilly,243303,33,14
10-06-2025,Uttar Pradesh,Bareilly,243501,20,8
10-06-2025,Uttar Pradesh,Bareilly,243504,61,16
11-06-2025,Uttar Pradesh,Bareilly,243003,11,16
11-06-2025,Uttar Pradesh,Bareilly,243201,33,19
11-06-2025,Uttar Pradesh,Bareilly,243301,60,12
11-06-2025,Uttar Pradesh,Bareilly,243401,28,9
11-06-2025,Uttar Pradesh,Bareilly,243504,60,10
12-06-2025,Uttar Pradesh,Bareilly,243006,22,16
12-06-2025,Uttar Pradesh,Bareilly,243201,43,28
12-06-2025,Uttar Pradesh,Bareilly,243403,2,0
12-06-2025,Uttar Pradesh,Bareilly,243504,18,4
13-06-2025,Uttar Pradesh,Bareilly,243001,35,32
13-06-2025,Uttar Pradesh,Bareilly,243122,31,23
13-06-2025,Uttar Pradesh,Bareilly,243203,7,3
13-06-2025,Uttar Pradesh,Bareilly,243303,58,5
13-06-2025,Uttar Pradesh,Bareilly,243402,5,3
13-06-2025,Uttar Pradesh,Bareilly,243403,2,1
13-06-2025,Uttar Pradesh,Bareilly,243407,0,2
14-06-2025,Uttar Pradesh,Bareilly,243202,11,2
14-06-2025,Uttar Pradesh,Bareilly,262407,11,11
15-06-2025,Uttar Pradesh,Bareilly,243006,1,4
15-06-2025,Uttar Pradesh,Bareilly,243202,1,0
17-06-2025,Uttar Pradesh,Bareilly,243003,8,9
17-06-2025,Uttar Pradesh,Bareilly,243122,32,26
17-06-2025,Uttar Pradesh,Bareilly,243302,37,16
17-06-2025,Uttar Pradesh,Bareilly,243502,38,20
18-06-2025,Uttar Pradesh,Bareilly,243122,21,11
18-06-2025,Uttar Pradesh,Bareilly,243302,37,7
18-06-2025,Uttar Pradesh,Bareilly,243402,1,0
18-06-2025,Uttar Pradesh,Bareilly,243403,0,1
18-06-2025,Uttar Pradesh,Bareilly,243505,21,9
18-06-2025,Uttar Pradesh,Bareilly,262406,54,21
01-08-2025,Uttar Pradesh,Bareilly,243004,0,1
20-07-2025,Uttar Pradesh,Bareilly,243002,0,1
20-07-2025,Uttar Pradesh,Bareilly,243003,0,14
20-07-2025,Uttar Pradesh,Bareilly,243303,3,30
20-07-2025,Uttar Pradesh,Bareilly,243401,1,27
11-07-2025,Uttar Pradesh,Bareilly,243004,0,1
12-07-2025,Uttar Pradesh,Bareilly,243004,0,2
06-07-2025,Uttar Pradesh,Bareilly,243407,2,7
06-07-2025,Uttar Pradesh,Bareilly,243506,1,22
09-07-2025,Uttar Pradesh,Bareilly,243403,1,3
03-07-2025,Uttar Pradesh,Bareilly,243002,0,2
30-05-2025,Uttar Pradesh,Bareilly,243004,0,1
30-05-2025,Uttar Pradesh,Bareilly,243403,0,6
25-05-2025,Uttar Pradesh,Bareilly,243003,0,6
25-05-2025,Uttar Pradesh,Bareilly,243005,0,15
25-05-2025,Uttar Pradesh,Bareilly,243401,1,15
25-05-2025,Uttar Pradesh,Bareilly,243407,0,15
21-06-2025,Uttar Pradesh,Bareilly,243407,0,21
22-06-2025,Uttar Pradesh,Bareilly,243402,0,36
22-06-2025,Uttar Pradesh,Bareilly,243407,0,3
22-06-2025,Uttar Pradesh,Bareilly,243502,2,17
22-06-2025,Uttar Pradesh,Bareilly,243504,2,23
24-06-2025,Uttar Pradesh,Bareilly,243403,0,2
24-06-2025,Uttar Pradesh,Bareilly,262122,0,1
17-06-2025,Uttar Pradesh,Bareilly,262001,0,1
26-06-2025,Uttar Pradesh,Bareilly,262201,0,1
13-06-2025,Uttar Pradesh,Bareilly,262203,0,1
08-06-2025,Uttar Pradesh,Bareilly,243506,0,10
07-06-2025,Uttar Pradesh,Bareilly,243501,1,13
13-07-2025,Uttar Pradesh,Bareilly,243402,2,6
13-07-2025,Uttar Pradesh,Bareilly,243505,3,15
30-06-2025,Uttar Pradesh,Bareilly,243407,0,12
03-08-2025,Uttar Pradesh,Bareilly,243203,3,10
03-08-2025,Uttar Pradesh,Bareilly,262122,0,1
28-07-2025,Uttar Pradesh,Bareilly,243002,0,1
27-07-2025,Uttar Pradesh,Bareilly,243301,1,3
25-09-2025,Uttar Pradesh,Bareilly,243005,25,21
25-09-2025,Uttar Pradesh,Bareilly,243122,52,23
25-09-2025,Uttar Pradesh,Bareilly,243123,32,16
25-09-2025,Uttar Pradesh,Bareilly,243203,45,12
25-09-2025,Uttar Pradesh,Bareilly,243401,9,3
25-09-2025,Uttar Pradesh,Bareilly,243402,16,6
25-09-2025,Uttar Pradesh,Bareilly,243407,0,3
26-09-2025,Uttar Pradesh,Bareilly,243005,22,17
26-09-2025,Uttar Pradesh,Bareilly,243503,113,29
01-10-2025,Uttar Pradesh,Bareilly,243005,5,18
01-10-2025,Uttar Pradesh,Bareilly,243504,12,9
01-10-2025,Uttar Pradesh,Bareilly,243505,30,11
27-09-2025,Uttar Pradesh,Bareilly,243001,46,40
27-09-2025,Uttar Pradesh,Bareilly,243006,8,3
27-09-2025,Uttar Pradesh,Bareilly,243203,30,6
27-09-2025,Uttar Pradesh,Bareilly,243303,16,8
27-09-2025,Uttar Pradesh,Bareilly,243401,19,7
24-09-2025,Uttar Pradesh,Bareilly,243005,34,24
24-09-2025,Uttar Pradesh,Bareilly,243122,46,19
24-09-2025,Uttar Pradesh,Bareilly,243201,165,51
03-10-2025,Uttar Pradesh,Bareilly,243001,6,9
03-10-2025,Uttar Pradesh,Bareilly,243006,2,3
03-10-2025,Uttar Pradesh,Bareilly,243123,2,1
03-10-2025,Uttar Pradesh,Bareilly,243201,13,11
03-10-2025,Uttar Pradesh,Bareilly,243403,1,0
03-10-2025,Uttar Pradesh,Bareilly,243501,3,0
03-10-2025,Uttar Pradesh,Bareilly,243503,2,9
03-10-2025,Uttar Pradesh,Bareilly,243505,10,7
04-10-2025,Uttar Pradesh,Bareilly,243005,2,1
04-10-2025,Uttar Pradesh,Bareilly,243123,1,1
04-10-2025,Uttar Pradesh,Bareilly,243401,0,1
17-09-2025,Uttar Pradesh,Bareilly,243001,90,50
17-09-2025,Uttar Pradesh,Bareilly,243123,52,29
17-09-2025,Uttar Pradesh,Bareilly,243202,92,19
17-09-2025,Uttar Pradesh,Bareilly,243203,59,16
17-09-2025,Uttar Pradesh,Bareilly,243402,12,6
17-09-2025,Uttar Pradesh,Bareilly,243403,7,1
17-09-2025,Uttar Pradesh,Bareilly,262406,202,46
17-09-2025,Uttar Pradesh,Bareilly,262407,83,21
29-09-2025,Uttar Pradesh,Bareilly,243301,10,4
29-09-2025,Uttar Pradesh,Bareilly,243402,12,4
29-09-2025,Uttar Pradesh,Bareilly,262407,2,3
28-09-2025,Uttar Pradesh,Bareilly,243201,11,8
28-09-2025,Uttar Pradesh,Bareilly,243403,1,0
28-09-2025,Uttar Pradesh,Bareilly,243504,0,1
28-09-2025,Uttar Pradesh,Bareilly,262407,1,1
23-09-2025,Uttar Pradesh,Bareilly,243005,31,28
23-09-2025,Uttar Pradesh,Bareilly,243201,166,52
