date,state,district,pincode,age_0_5,age_5_17,age_18_greater
23-09-2025,Delhi,New Delhi,110001,1,1,0
24-09-2025,Delhi,New Delhi,110001,2,0,0
17-10-2025,Delhi,New Delhi,110021,2,0,0
14-11-2025,Delhi,New Delhi,110001,1,1,0
18-11-2025,Delhi,New Delhi,110011,1,0,0
24-12-2025,Delhi,New Delhi,110001,0,3,0
24-12-2025,Delhi,New Delhi,110021,1,0,0
01-01-2026,Delhi,New Delhi,110001,2,1,0
11-06-2025,Delhi,New Delhi,110021,0,1,0
13-06-2025,Delhi,New Delhi,110021,0,1,1
14-06-2025,Delhi,New Delhi,110001,2,1,0
